  32.45200:   13.51918038 x 10^(-38) cm2
  32.92800:   13.70410977 x 10^(-38) cm2
  33.41000:   13.89743690 x 10^(-38) cm2
  33.90000:   14.10124589 x 10^(-38) cm2
  34.39700:   14.31417044 x 10^(-38) cm2
  34.90100:   14.53399785 x 10^(-38) cm2
  35.41200:   14.75629108 x 10^(-38) cm2
  35.93100:   14.97742276 x 10^(-38) cm2
  36.45800:   15.19362282 x 10^(-38) cm2
  36.99200:   15.40402367 x 10^(-38) cm2
  37.53400:   15.61095942 x 10^(-38) cm2
  38.08400:   15.81708924 x 10^(-38) cm2
  38.64200:   16.02537313 x 10^(-38) cm2
  39.20800:   16.23897895 x 10^(-38) cm2
  39.78300:   16.45940783 x 10^(-38) cm2
  40.36600:   16.68619080 x 10^(-38) cm2
  40.95800:   16.91871965 x 10^(-38) cm2
  41.55800:   17.15573391 x 10^(-38) cm2
  42.16700:   17.39566456 x 10^(-38) cm2
  42.78500:   17.63757499 x 10^(-38) cm2
  43.41200:   17.88133269 x 10^(-38) cm2
  44.04800:   18.12689767 x 10^(-38) cm2
  44.69400:   18.37492847 x 10^(-38) cm2
  45.34900:   18.62654187 x 10^(-38) cm2
  46.01300:   18.88253872 x 10^(-38) cm2
  46.68700:   19.14328383 x 10^(-38) cm2
  47.37200:   19.40910474 x 10^(-38) cm2
  48.06600:   19.67964823 x 10^(-38) cm2
  48.77000:   19.95385644 x 10^(-38) cm2
  49.48500:   20.23114277 x 10^(-38) cm2
  50.21000:   20.51162719 x 10^(-38) cm2
  50.94600:   20.79550314 x 10^(-38) cm2
  51.69300:   21.08349562 x 10^(-38) cm2
  52.45000:   21.37730902 x 10^(-38) cm2
  53.21900:   21.67794349 x 10^(-38) cm2
  53.99900:   21.98505305 x 10^(-38) cm2
  54.79000:   22.29814368 x 10^(-38) cm2
  55.59300:   22.61629758 x 10^(-38) cm2
  56.40800:   22.93758874 x 10^(-38) cm2
  57.23400:   23.26061364 x 10^(-38) cm2
  58.07300:   23.58516033 x 10^(-38) cm2
  58.92400:   23.91110161 x 10^(-38) cm2
  59.78800:   24.23855877 x 10^(-38) cm2
  60.66400:   24.56879467 x 10^(-38) cm2
  61.55300:   24.90325038 x 10^(-38) cm2
  62.45500:   25.24310688 x 10^(-38) cm2
  63.37000:   25.58961391 x 10^(-38) cm2
  64.29900:   25.94397127 x 10^(-38) cm2
  65.24100:   26.30623040 x 10^(-38) cm2
  66.19700:   26.67565800 x 10^(-38) cm2
  67.16700:   27.05117130 x 10^(-38) cm2
  68.15200:   27.43158217 x 10^(-38) cm2
  69.15000:   27.81565474 x 10^(-38) cm2
  70.16400:   28.20301987 x 10^(-38) cm2
  71.19200:   28.59411755 x 10^(-38) cm2
  72.23500:   28.98955664 x 10^(-38) cm2
  73.29400:   29.39006470 x 10^(-38) cm2
  74.36800:   29.79644755 x 10^(-38) cm2
  75.45800:   30.20904426 x 10^(-38) cm2
  76.56400:   30.62772324 x 10^(-38) cm2
  77.68600:   31.05264821 x 10^(-38) cm2
  78.82400:   31.48405012 x 10^(-38) cm2
  79.97900:   31.92227546 x 10^(-38) cm2
  81.15100:   32.36789862 x 10^(-38) cm2
  82.34100:   32.82200933 x 10^(-38) cm2
  83.54700:   33.28597066 x 10^(-38) cm2
  84.77200:   33.76125810 x 10^(-38) cm2
  86.01400:   34.24919490 x 10^(-38) cm2
  87.27400:   34.75068787 x 10^(-38) cm2
  88.55300:   35.26520836 x 10^(-38) cm2
  89.85100:   35.78953460 x 10^(-38) cm2
  91.16800:   36.31985931 x 10^(-38) cm2
  92.50400:   36.85207447 x 10^(-38) cm2
  93.86000:   37.38225478 x 10^(-38) cm2
  95.23500:   37.90871199 x 10^(-38) cm2
  96.63100:   38.43400333 x 10^(-38) cm2
  98.04700:   38.96145208 x 10^(-38) cm2
  99.48400:   39.49456887 x 10^(-38) cm2
 100.94000:   40.03730540 x 10^(-38) cm2
 102.42000:   40.59241515 x 10^(-38) cm2
 103.92000:   41.15939113 x 10^(-38) cm2
 105.44000:   41.73727190 x 10^(-38) cm2
 106.99000:   42.32499851 x 10^(-38) cm2
 108.56000:   42.92140965 x 10^(-38) cm2
 110.15000:   43.52558337 x 10^(-38) cm2
 111.76000:   44.13735375 x 10^(-38) cm2
 113.40000:   44.75665344 x 10^(-38) cm2
 115.06000:   45.38339546 x 10^(-38) cm2
 116.75000:   46.01747323 x 10^(-38) cm2
 118.46000:   46.65920575 x 10^(-38) cm2
Erange 0.0 to 118.46 sum = 3319.04366562 x 10^(-38) cm^2
