   3.98560:    6.09904325 x 10^(-38) cm2
   4.04400:    6.19475695 x 10^(-38) cm2
   4.10330:    6.28752100 x 10^(-38) cm2
   4.16350:    6.37819111 x 10^(-38) cm2
   4.22450:    6.47270664 x 10^(-38) cm2
   4.28640:    6.56746322 x 10^(-38) cm2
   4.34930:    6.65524102 x 10^(-38) cm2
   4.41310:    6.74543451 x 10^(-38) cm2
   4.47780:    6.83412249 x 10^(-38) cm2
   4.54340:    6.92857275 x 10^(-38) cm2
   4.61010:    7.02066576 x 10^(-38) cm2
   4.67760:    7.11696389 x 10^(-38) cm2
   4.74620:    7.22388572 x 10^(-38) cm2
   4.81580:    7.33617412 x 10^(-38) cm2
   4.88640:    7.45319929 x 10^(-38) cm2
   4.95810:    7.57188571 x 10^(-38) cm2
   5.03080:    7.68433362 x 10^(-38) cm2
   5.10460:    7.80205239 x 10^(-38) cm2
   5.17940:    7.91284860 x 10^(-38) cm2
   5.25530:    8.02550161 x 10^(-38) cm2
   5.33240:    8.13554632 x 10^(-38) cm2
   5.41060:    8.24069042 x 10^(-38) cm2
   5.48990:    8.34667171 x 10^(-38) cm2
   5.57040:    8.45663520 x 10^(-38) cm2
   5.65210:    8.56584800 x 10^(-38) cm2
   5.73500:    8.67950072 x 10^(-38) cm2
   5.81910:    8.80221346 x 10^(-38) cm2
   5.90440:    8.93463022 x 10^(-38) cm2
   5.99100:    9.07281837 x 10^(-38) cm2
   6.07880:    9.21637617 x 10^(-38) cm2
   6.16790:    9.35624079 x 10^(-38) cm2
   6.25840:    9.49147730 x 10^(-38) cm2
   6.35010:    9.62229664 x 10^(-38) cm2
   6.44330:    9.74888526 x 10^(-38) cm2
   6.53770:    9.87541072 x 10^(-38) cm2
   6.63360:   10.00011384 x 10^(-38) cm2
   6.73090:   10.13252125 x 10^(-38) cm2
   6.82950:   10.27024572 x 10^(-38) cm2
   6.92970:   10.41653553 x 10^(-38) cm2
   7.03130:   10.56662907 x 10^(-38) cm2
   7.13440:   10.71616475 x 10^(-38) cm2
   7.23900:   10.86356529 x 10^(-38) cm2
   7.34510:   11.00822072 x 10^(-38) cm2
   7.45280:   11.14976809 x 10^(-38) cm2
   7.56210:   11.29023505 x 10^(-38) cm2
   7.67300:   11.43915120 x 10^(-38) cm2
   7.78550:   11.59530924 x 10^(-38) cm2
   7.89970:   11.76370628 x 10^(-38) cm2
   8.01550:   11.94444511 x 10^(-38) cm2
   8.13300:   12.12985369 x 10^(-38) cm2
   8.25230:   12.31669526 x 10^(-38) cm2
   8.37330:   12.50060270 x 10^(-38) cm2
   8.49610:   12.67586221 x 10^(-38) cm2
   8.62060:   12.85058313 x 10^(-38) cm2
   8.74700:   13.01499097 x 10^(-38) cm2
   8.87530:   13.17900786 x 10^(-38) cm2
   9.00540:   13.34295917 x 10^(-38) cm2
   9.13750:   13.50770269 x 10^(-38) cm2
   9.27150:   13.67116165 x 10^(-38) cm2
   9.40740:   13.84756243 x 10^(-38) cm2
   9.54530:   14.03167590 x 10^(-38) cm2
   9.68530:   14.22417341 x 10^(-38) cm2
   9.82730:   14.42561394 x 10^(-38) cm2
   9.97140:   14.63154817 x 10^(-38) cm2
  10.11800:   14.83822553 x 10^(-38) cm2
  10.26600:   15.04937957 x 10^(-38) cm2
  10.41600:   15.25733891 x 10^(-38) cm2
  10.56900:   15.46100078 x 10^(-38) cm2
  10.72400:   15.65688763 x 10^(-38) cm2
  10.88100:   15.85235449 x 10^(-38) cm2
  11.04100:   16.05069974 x 10^(-38) cm2
  11.20300:   16.26220473 x 10^(-38) cm2
  11.36700:   16.49418142 x 10^(-38) cm2
  11.53400:   16.74072195 x 10^(-38) cm2
  11.70300:   16.99594919 x 10^(-38) cm2
  11.87500:   17.25780174 x 10^(-38) cm2
  12.04900:   17.51663168 x 10^(-38) cm2
  12.22500:   17.77207239 x 10^(-38) cm2
  12.40500:   18.02067732 x 10^(-38) cm2
  12.58600:   18.26523961 x 10^(-38) cm2
  12.77100:   18.50558297 x 10^(-38) cm2
  12.95800:   18.74531242 x 10^(-38) cm2
  13.14800:   18.98813303 x 10^(-38) cm2
  13.34100:   19.23566644 x 10^(-38) cm2
  13.53700:   19.48811426 x 10^(-38) cm2
  13.73500:   19.74159452 x 10^(-38) cm2
  13.93700:   20.00876052 x 10^(-38) cm2
  14.14100:   20.28091387 x 10^(-38) cm2
  14.34800:   20.56524088 x 10^(-38) cm2
  14.55900:   20.85939455 x 10^(-38) cm2
  14.77200:   21.15430569 x 10^(-38) cm2
  14.98900:   21.45054456 x 10^(-38) cm2
  15.20800:   21.74458419 x 10^(-38) cm2
  15.43100:   22.04042868 x 10^(-38) cm2
  15.65800:   22.33773802 x 10^(-38) cm2
  15.88700:   22.63446267 x 10^(-38) cm2
  16.12000:   22.93449695 x 10^(-38) cm2
  16.35700:   23.23732204 x 10^(-38) cm2
  16.59700:   23.54978658 x 10^(-38) cm2
  16.84000:   23.86903040 x 10^(-38) cm2
  17.08700:   24.19336544 x 10^(-38) cm2
  17.33700:   24.52040667 x 10^(-38) cm2
  17.59200:   24.85020013 x 10^(-38) cm2
  17.84900:   25.18581694 x 10^(-38) cm2
  18.11100:   25.52603023 x 10^(-38) cm2
