   3.40330:   37.92793265 x 10^(-38) cm2
   3.45320:   38.47218789 x 10^(-38) cm2
   3.50380:   39.02105893 x 10^(-38) cm2
   3.55520:   39.51394384 x 10^(-38) cm2
   3.60730:   40.02499382 x 10^(-38) cm2
   3.66010:   40.53012187 x 10^(-38) cm2
   3.71380:   41.03667314 x 10^(-38) cm2
   3.76820:   41.57731224 x 10^(-38) cm2
   3.82340:   42.15023266 x 10^(-38) cm2
   3.87950:   42.74005586 x 10^(-38) cm2
   3.93630:   43.34682938 x 10^(-38) cm2
   3.99400:   43.97477148 x 10^(-38) cm2
   4.05250:   44.59065545 x 10^(-38) cm2
   4.11190:   45.19418996 x 10^(-38) cm2
   4.17220:   45.78906944 x 10^(-38) cm2
   4.23330:   46.37175948 x 10^(-38) cm2
   4.29530:   46.94868112 x 10^(-38) cm2
   4.35830:   47.50798582 x 10^(-38) cm2
   4.42220:   48.06016654 x 10^(-38) cm2
   4.48700:   48.60791365 x 10^(-38) cm2
   4.55270:   49.16951326 x 10^(-38) cm2
   4.61940:   49.74944264 x 10^(-38) cm2
   4.68710:   50.36829764 x 10^(-38) cm2
   4.75580:   51.03871861 x 10^(-38) cm2
   4.82550:   51.74973617 x 10^(-38) cm2
   4.89620:   52.47903980 x 10^(-38) cm2
   4.96800:   53.22749803 x 10^(-38) cm2
   5.04080:   53.95828910 x 10^(-38) cm2
   5.11470:   54.66892803 x 10^(-38) cm2
   5.18960:   55.35776768 x 10^(-38) cm2
   5.26570:   56.03982868 x 10^(-38) cm2
   5.34280:   56.71148410 x 10^(-38) cm2
   5.42110:   57.38555474 x 10^(-38) cm2
   5.50060:   58.06146398 x 10^(-38) cm2
   5.58120:   58.76063544 x 10^(-38) cm2
   5.66300:   59.47287604 x 10^(-38) cm2
   5.74600:   60.20832652 x 10^(-38) cm2
   5.83020:   60.98220575 x 10^(-38) cm2
   5.91560:   61.78964215 x 10^(-38) cm2
   6.00230:   62.62476392 x 10^(-38) cm2
   6.09030:   63.48484845 x 10^(-38) cm2
   6.17950:   64.33937086 x 10^(-38) cm2
   6.27010:   65.19334821 x 10^(-38) cm2
   6.36200:   66.01951617 x 10^(-38) cm2
   6.45520:   66.83487205 x 10^(-38) cm2
   6.54980:   67.64398742 x 10^(-38) cm2
   6.64580:   68.45497812 x 10^(-38) cm2
   6.74320:   69.28080412 x 10^(-38) cm2
   6.84200:   70.16579952 x 10^(-38) cm2
   6.94230:   71.04533834 x 10^(-38) cm2
   7.04400:   71.94635894 x 10^(-38) cm2
   7.14720:   72.86288657 x 10^(-38) cm2
   7.25200:   73.78965240 x 10^(-38) cm2
   7.35830:   74.72300882 x 10^(-38) cm2
   7.46610:   75.66240831 x 10^(-38) cm2
   7.57550:   76.61491348 x 10^(-38) cm2
   7.68650:   77.60206974 x 10^(-38) cm2
   7.79920:   78.61807519 x 10^(-38) cm2
   7.91350:   79.69954841 x 10^(-38) cm2
   8.02940:   80.81697668 x 10^(-38) cm2
   8.14710:   81.96052353 x 10^(-38) cm2
   8.26650:   83.11124327 x 10^(-38) cm2
   8.38760:   84.25439166 x 10^(-38) cm2
   8.51060:   85.36535636 x 10^(-38) cm2
   8.63530:   86.46452985 x 10^(-38) cm2
   8.76180:   87.53600202 x 10^(-38) cm2
   8.89020:   88.60845342 x 10^(-38) cm2
   9.02050:   89.68695400 x 10^(-38) cm2
   9.15270:   90.78173896 x 10^(-38) cm2
   9.28680:   91.88963881 x 10^(-38) cm2
   9.42290:   93.03915068 x 10^(-38) cm2
   9.56100:   94.21976290 x 10^(-38) cm2
   9.70120:   95.42376479 x 10^(-38) cm2
   9.84330:   96.66862870 x 10^(-38) cm2
   9.98760:   97.93369549 x 10^(-38) cm2
  10.13400:   99.21956913 x 10^(-38) cm2
  10.28200:  100.52758767 x 10^(-38) cm2
  10.43300:  101.84372447 x 10^(-38) cm2
  10.58600:  103.16190384 x 10^(-38) cm2
  10.74100:  104.48777205 x 10^(-38) cm2
  10.89900:  105.82716643 x 10^(-38) cm2
  11.05800:  107.18864073 x 10^(-38) cm2
  11.22000:  108.61114066 x 10^(-38) cm2
  11.38500:  110.08800395 x 10^(-38) cm2
  11.55200:  111.61205320 x 10^(-38) cm2
  11.72100:  113.17298536 x 10^(-38) cm2
  11.89300:  114.76031876 x 10^(-38) cm2
  12.06700:  116.34577729 x 10^(-38) cm2
  12.24400:  117.93270441 x 10^(-38) cm2
  12.42300:  119.50906377 x 10^(-38) cm2
  12.60500:  121.08017234 x 10^(-38) cm2
  12.79000:  122.65341267 x 10^(-38) cm2
  12.97700:  124.23358677 x 10^(-38) cm2
  13.16800:  125.82720611 x 10^(-38) cm2
  13.36100:  127.44838544 x 10^(-38) cm2
  13.55600:  129.08410225 x 10^(-38) cm2
  13.75500:  130.73184086 x 10^(-38) cm2
  13.95700:  132.41633748 x 10^(-38) cm2
  14.16100:  134.12476710 x 10^(-38) cm2
  14.36900:  135.86616925 x 10^(-38) cm2
  14.57900:  137.65162982 x 10^(-38) cm2
  14.79300:  139.47092816 x 10^(-38) cm2
  15.01000:  141.32684815 x 10^(-38) cm2
  15.23000:  143.22725926 x 10^(-38) cm2
  15.45300:  145.16888274 x 10^(-38) cm2
  15.67900:  147.14512770 x 10^(-38) cm2
  15.90900:  149.13517762 x 10^(-38) cm2
  16.14200:  151.13446620 x 10^(-38) cm2
  16.37900:  153.13140475 x 10^(-38) cm2
  16.61900:  155.13971714 x 10^(-38) cm2
  16.86200:  157.15883423 x 10^(-38) cm2
  17.10900:  159.19281387 x 10^(-38) cm2
  17.36000:  161.25210986 x 10^(-38) cm2
  17.61500:  163.34956708 x 10^(-38) cm2
  17.87300:  165.48594350 x 10^(-38) cm2
  18.13500:  167.67845148 x 10^(-38) cm2
  18.40000:  169.92037096 x 10^(-38) cm2
  18.67000:  172.22908773 x 10^(-38) cm2
  18.94400:  174.60055071 x 10^(-38) cm2
  19.22100:  177.02641796 x 10^(-38) cm2
  19.50300:  179.48129661 x 10^(-38) cm2
  19.78900:  181.95302940 x 10^(-38) cm2
  20.07900:  184.39261044 x 10^(-38) cm2
  20.37300:  186.79859163 x 10^(-38) cm2
  20.67200:  189.16269238 x 10^(-38) cm2
  20.97500:  191.54715502 x 10^(-38) cm2
  21.28200:  193.99370175 x 10^(-38) cm2
  21.59400:  196.54777552 x 10^(-38) cm2
  21.91000:  199.25284384 x 10^(-38) cm2
  22.23100:  202.10376550 x 10^(-38) cm2
  22.55700:  205.04657409 x 10^(-38) cm2
  22.88800:  208.02192477 x 10^(-38) cm2
  23.22300:  210.96821037 x 10^(-38) cm2
  23.56300:  213.83511201 x 10^(-38) cm2
  23.90900:  216.60926819 x 10^(-38) cm2
  24.25900:  219.33093318 x 10^(-38) cm2
  24.61500:  222.04590298 x 10^(-38) cm2
  24.97500:  224.81097376 x 10^(-38) cm2
  25.34100:  227.67662047 x 10^(-38) cm2
  25.71300:  230.66752636 x 10^(-38) cm2
  26.09000:  233.76062683 x 10^(-38) cm2
  26.47200:  236.95149167 x 10^(-38) cm2
  26.86000:  240.23245189 x 10^(-38) cm2
  27.25400:  243.58854387 x 10^(-38) cm2
  27.65300:  247.00870747 x 10^(-38) cm2
  28.05800:  250.46638710 x 10^(-38) cm2
  28.46900:  253.95404141 x 10^(-38) cm2
  28.88700:  257.45108664 x 10^(-38) cm2
  29.31000:  260.96349182 x 10^(-38) cm2
  29.73900:  264.49637478 x 10^(-38) cm2
  30.17500:  268.02211675 x 10^(-38) cm2
  30.61700:  271.59320778 x 10^(-38) cm2
  31.06600:  275.19551668 x 10^(-38) cm2
  31.52100:  278.85783343 x 10^(-38) cm2
  31.98300:  282.58245222 x 10^(-38) cm2
  32.45200:  286.37654764 x 10^(-38) cm2
  32.92800:  290.23996714 x 10^(-38) cm2
  33.41000:  294.17101460 x 10^(-38) cm2
  33.90000:  298.15813442 x 10^(-38) cm2
  34.39700:  302.20690687 x 10^(-38) cm2
  34.90100:  306.30806396 x 10^(-38) cm2
  35.41200:  310.48858507 x 10^(-38) cm2
  35.93100:  314.72435480 x 10^(-38) cm2
  36.45800:  319.03507120 x 10^(-38) cm2
  36.99200:  323.41514321 x 10^(-38) cm2
  37.53400:  327.85797996 x 10^(-38) cm2
  38.08400:  332.35146166 x 10^(-38) cm2
  38.64200:  336.87428236 x 10^(-38) cm2
  39.20800:  341.40717445 x 10^(-38) cm2
