  30.14400:    6.12831477 x 10^(-38) cm2
  30.58600:    6.21267497 x 10^(-38) cm2
  31.03500:    6.29811414 x 10^(-38) cm2
  31.49000:    6.38521814 x 10^(-38) cm2
  31.95200:    6.47427261 x 10^(-38) cm2
  32.42000:    6.56528357 x 10^(-38) cm2
  32.89600:    6.65811516 x 10^(-38) cm2
  33.37800:    6.75247461 x 10^(-38) cm2
  33.86700:    6.84804527 x 10^(-38) cm2
  34.36400:    6.94469956 x 10^(-38) cm2
  34.86800:    7.04249374 x 10^(-38) cm2
  35.37900:    7.14156739 x 10^(-38) cm2
  35.89800:    7.24220214 x 10^(-38) cm2
  36.42400:    7.34470306 x 10^(-38) cm2
  36.95800:    7.44911631 x 10^(-38) cm2
  37.50000:    7.55522278 x 10^(-38) cm2
  38.05000:    7.66277508 x 10^(-38) cm2
  38.60800:    7.77151383 x 10^(-38) cm2
  39.17400:    7.88117153 x 10^(-38) cm2
  39.74800:    7.99176655 x 10^(-38) cm2
  40.33100:    8.10362550 x 10^(-38) cm2
  40.92300:    8.21708542 x 10^(-38) cm2
  41.52300:    8.33234174 x 10^(-38) cm2
  42.13100:    8.44954336 x 10^(-38) cm2
  42.74900:    8.56874642 x 10^(-38) cm2
  43.37600:    8.68990177 x 10^(-38) cm2
  44.01200:    8.81296855 x 10^(-38) cm2
  44.65700:    8.93810301 x 10^(-38) cm2
  45.31200:    9.06558602 x 10^(-38) cm2
  45.97700:    9.19558978 x 10^(-38) cm2
  46.65100:    9.32815353 x 10^(-38) cm2
  47.33500:    9.46330157 x 10^(-38) cm2
  48.02900:    9.60089527 x 10^(-38) cm2
  48.73300:    9.74062654 x 10^(-38) cm2
  49.44800:    9.88220115 x 10^(-38) cm2
  50.17300:   10.02535455 x 10^(-38) cm2
  50.90800:   10.16980217 x 10^(-38) cm2
  51.65500:   10.31535661 x 10^(-38) cm2
  52.41200:   10.46201558 x 10^(-38) cm2
  53.18100:   10.60999354 x 10^(-38) cm2
  53.96000:   10.75976598 x 10^(-38) cm2
  54.75200:   10.91186448 x 10^(-38) cm2
  55.55400:   11.06677797 x 10^(-38) cm2
  56.36900:   11.22478891 x 10^(-38) cm2
  57.19600:   11.38581013 x 10^(-38) cm2
  58.03400:   11.54929379 x 10^(-38) cm2
  58.88500:   11.71461037 x 10^(-38) cm2
  59.74900:   11.88113305 x 10^(-38) cm2
  60.62500:   12.04848142 x 10^(-38) cm2
  61.51400:   12.21686306 x 10^(-38) cm2
  62.41600:   12.38722487 x 10^(-38) cm2
  63.33100:   12.56064869 x 10^(-38) cm2
  64.25900:   12.73827422 x 10^(-38) cm2
  65.20200:   12.92100790 x 10^(-38) cm2
  66.15800:   13.10893662 x 10^(-38) cm2
  67.12800:   13.30110832 x 10^(-38) cm2
  68.11200:   13.49639966 x 10^(-38) cm2
  69.11100:   13.69359513 x 10^(-38) cm2
  70.12400:   13.89162002 x 10^(-38) cm2
  71.15200:   14.08995430 x 10^(-38) cm2
  72.19500:   14.28870080 x 10^(-38) cm2
  73.25400:   14.48802791 x 10^(-38) cm2
  74.32800:   14.68811890 x 10^(-38) cm2
  75.41800:   14.88905625 x 10^(-38) cm2
  76.52400:   15.09144615 x 10^(-38) cm2
  77.64600:   15.29703194 x 10^(-38) cm2
  78.78400:   15.50780727 x 10^(-38) cm2
  79.94000:   15.72593932 x 10^(-38) cm2
  81.11200:   15.95379958 x 10^(-38) cm2
  82.30100:   16.19237850 x 10^(-38) cm2
  83.50800:   16.43996745 x 10^(-38) cm2
  84.73200:   16.69442546 x 10^(-38) cm2
  85.97500:   16.95340427 x 10^(-38) cm2
  87.23500:   17.21433973 x 10^(-38) cm2
  88.51400:   17.47537021 x 10^(-38) cm2
  89.81200:   17.73614697 x 10^(-38) cm2
  91.12900:   17.99646331 x 10^(-38) cm2
  92.46500:   18.25609982 x 10^(-38) cm2
  93.82100:   18.51482964 x 10^(-38) cm2
  95.19700:   18.77296916 x 10^(-38) cm2
  96.59300:   19.03189342 x 10^(-38) cm2
  98.00900:   19.29321532 x 10^(-38) cm2
  99.44600:   19.55869013 x 10^(-38) cm2
 100.90000:   19.83027107 x 10^(-38) cm2
 102.38000:   20.10947145 x 10^(-38) cm2
 103.88000:   20.39672152 x 10^(-38) cm2
 105.41000:   20.69234285 x 10^(-38) cm2
 106.95000:   20.99667158 x 10^(-38) cm2
 108.52000:   21.31005222 x 10^(-38) cm2
 110.11000:   21.63188842 x 10^(-38) cm2
 111.73000:   21.95955876 x 10^(-38) cm2
 113.37000:   22.28995642 x 10^(-38) cm2
 115.03000:   22.61969075 x 10^(-38) cm2
 116.71000:   22.94508385 x 10^(-38) cm2
 118.43000:   23.26456667 x 10^(-38) cm2
Erange 0.0 to 118.43 sum = 1653.22571474 x 10^(-38) cm^2
