  13.93700:   20.01289608 x 10^(-38) cm2
  14.14100:   20.28513232 x 10^(-38) cm2
  14.34800:   20.56954388 x 10^(-38) cm2
  14.55900:   20.86378380 x 10^(-38) cm2
  14.77200:   21.15878292 x 10^(-38) cm2
  14.98900:   21.45511154 x 10^(-38) cm2
  15.20800:   21.74924270 x 10^(-38) cm2
  15.43100:   22.04518057 x 10^(-38) cm2
  15.65800:   22.34258515 x 10^(-38) cm2
  15.88700:   22.63940696 x 10^(-38) cm2
  16.12000:   22.93954035 x 10^(-38) cm2
  16.35700:   23.24246654 x 10^(-38) cm2
  16.59700:   23.55503419 x 10^(-38) cm2
  16.84000:   23.87438320 x 10^(-38) cm2
  17.08700:   24.19882553 x 10^(-38) cm2
  17.33700:   24.52597620 x 10^(-38) cm2
  17.59200:   24.85588130 x 10^(-38) cm2
  17.84900:   25.19161198 x 10^(-38) cm2
  18.11100:   25.53194143 x 10^(-38) cm2
  18.37700:   25.87753306 x 10^(-38) cm2
  18.64600:   26.24320796 x 10^(-38) cm2
  18.92000:   26.62621567 x 10^(-38) cm2
  19.19700:   27.02557894 x 10^(-38) cm2
  19.47800:   27.43239534 x 10^(-38) cm2
  19.76400:   27.84625074 x 10^(-38) cm2
  20.05400:   28.25195153 x 10^(-38) cm2
  20.34800:   28.64860117 x 10^(-38) cm2
  20.64600:   29.03187179 x 10^(-38) cm2
  20.94900:   29.41731481 x 10^(-38) cm2
  21.25600:   29.80477037 x 10^(-38) cm2
  21.56800:   30.20166919 x 10^(-38) cm2
  21.88400:   30.61440096 x 10^(-38) cm2
  22.20500:   31.04376195 x 10^(-38) cm2
  22.53100:   31.48924465 x 10^(-38) cm2
  22.86100:   31.93885551 x 10^(-38) cm2
  23.19600:   32.38926035 x 10^(-38) cm2
  23.53600:   32.83588045 x 10^(-38) cm2
  23.88100:   33.28129976 x 10^(-38) cm2
  24.23200:   33.72425021 x 10^(-38) cm2
  24.58700:   34.17208555 x 10^(-38) cm2
  24.94700:   34.63246072 x 10^(-38) cm2
  25.31300:   35.11301068 x 10^(-38) cm2
  25.68400:   35.61120345 x 10^(-38) cm2
  26.06100:   36.13143891 x 10^(-38) cm2
