   6.82950:    0.82936528 x 10^(-38) cm2
   6.92970:    0.84099528 x 10^(-38) cm2
   7.03130:    0.85298952 x 10^(-38) cm2
   7.13440:    0.86512405 x 10^(-38) cm2
   7.23900:    0.87710125 x 10^(-38) cm2
   7.34510:    0.88874049 x 10^(-38) cm2
   7.45280:    0.90020607 x 10^(-38) cm2
   7.56210:    0.91178658 x 10^(-38) cm2
   7.67300:    0.92379695 x 10^(-38) cm2
   7.78550:    0.93658019 x 10^(-38) cm2
   7.89970:    0.95040969 x 10^(-38) cm2
   8.01550:    0.96509714 x 10^(-38) cm2
   8.13300:    0.98028860 x 10^(-38) cm2
   8.25230:    0.99559688 x 10^(-38) cm2
   8.37330:    1.01059892 x 10^(-38) cm2
   8.49610:    1.02491873 x 10^(-38) cm2
   8.62060:    1.03859605 x 10^(-38) cm2
   8.74700:    1.05182005 x 10^(-38) cm2
   8.87530:    1.06479857 x 10^(-38) cm2
   9.00540:    1.07776313 x 10^(-38) cm2
   9.13750:    1.09097709 x 10^(-38) cm2
   9.27150:    1.10459453 x 10^(-38) cm2
   9.40740:    1.11873026 x 10^(-38) cm2
   9.54530:    1.13350854 x 10^(-38) cm2
   9.68530:    1.14906009 x 10^(-38) cm2
   9.82730:    1.16542068 x 10^(-38) cm2
   9.97140:    1.18238019 x 10^(-38) cm2
  10.11800:    1.19964226 x 10^(-38) cm2
  10.26600:    1.21688298 x 10^(-38) cm2
  10.41600:    1.23375031 x 10^(-38) cm2
  10.56900:    1.24999396 x 10^(-38) cm2
  10.72400:    1.26585475 x 10^(-38) cm2
  10.88100:    1.28176074 x 10^(-38) cm2
  11.04100:    1.29817952 x 10^(-38) cm2
  11.20300:    1.31562032 x 10^(-38) cm2
  11.36700:    1.33452298 x 10^(-38) cm2
  11.53400:    1.35471703 x 10^(-38) cm2
  11.70300:    1.37576897 x 10^(-38) cm2
  11.87500:    1.39720343 x 10^(-38) cm2
  12.04900:    1.41850114 x 10^(-38) cm2
  12.22500:    1.43916849 x 10^(-38) cm2
  12.40500:    1.45918361 x 10^(-38) cm2
  12.58600:    1.47874706 x 10^(-38) cm2
  12.77100:    1.49807992 x 10^(-38) cm2
  12.95800:    1.51742437 x 10^(-38) cm2
  13.14800:    1.53702650 x 10^(-38) cm2
  13.34100:    1.55702746 x 10^(-38) cm2
  13.53700:    1.57752789 x 10^(-38) cm2
  13.73500:    1.59863664 x 10^(-38) cm2
  13.93700:    1.62047141 x 10^(-38) cm2
  14.14100:    1.64313826 x 10^(-38) cm2
  14.34800:    1.66654910 x 10^(-38) cm2
  14.55900:    1.69048489 x 10^(-38) cm2
  14.77200:    1.71470357 x 10^(-38) cm2
  14.98900:    1.73894078 x 10^(-38) cm2
  15.20800:    1.76293581 x 10^(-38) cm2
  15.43100:    1.78668086 x 10^(-38) cm2
  15.65800:    1.81035683 x 10^(-38) cm2
  15.88700:    1.83416830 x 10^(-38) cm2
  16.12000:    1.85833862 x 10^(-38) cm2
  16.35700:    1.88309254 x 10^(-38) cm2
  16.59700:    1.90848683 x 10^(-38) cm2
  16.84000:    1.93444264 x 10^(-38) cm2
  17.08700:    1.96086482 x 10^(-38) cm2
  17.33700:    1.98761058 x 10^(-38) cm2
  17.59200:    2.01467132 x 10^(-38) cm2
  17.84900:    2.04215841 x 10^(-38) cm2
  18.11100:    2.07032097 x 10^(-38) cm2
  18.37700:    2.09941552 x 10^(-38) cm2
  18.64600:    2.12972023 x 10^(-38) cm2
  18.92000:    2.16148176 x 10^(-38) cm2
  19.19700:    2.19442511 x 10^(-38) cm2
  19.47800:    2.22804572 x 10^(-38) cm2
  19.76400:    2.26184448 x 10^(-38) cm2
  20.05400:    2.29527721 x 10^(-38) cm2
  20.34800:    2.32781548 x 10^(-38) cm2
  20.64600:    2.35958172 x 10^(-38) cm2
  20.94900:    2.39108202 x 10^(-38) cm2
  21.25600:    2.42282732 x 10^(-38) cm2
  21.56800:    2.45537406 x 10^(-38) cm2
  21.88400:    2.48927962 x 10^(-38) cm2
  22.20500:    2.52457927 x 10^(-38) cm2
  22.53100:    2.56091553 x 10^(-38) cm2
  22.86100:    2.59786514 x 10^(-38) cm2
  23.19600:    2.63496385 x 10^(-38) cm2
  23.53600:    2.67174221 x 10^(-38) cm2
  23.88100:    2.70815486 x 10^(-38) cm2
  24.23200:    2.74452797 x 10^(-38) cm2
  24.58700:    2.78133418 x 10^(-38) cm2
  24.94700:    2.81910237 x 10^(-38) cm2
  25.31300:    2.85837515 x 10^(-38) cm2
  25.68400:    2.89929458 x 10^(-38) cm2
  26.06100:    2.94165097 x 10^(-38) cm2
  26.44300:    2.98507518 x 10^(-38) cm2
  26.83100:    3.02913359 x 10^(-38) cm2
  27.22400:    3.07337511 x 10^(-38) cm2
  27.62300:    3.11756383 x 10^(-38) cm2
  28.02800:    3.16194170 x 10^(-38) cm2
  28.43900:    3.20657683 x 10^(-38) cm2
  28.85600:    3.25163998 x 10^(-38) cm2
  29.27900:    3.29730799 x 10^(-38) cm2
  29.70900:    3.34362584 x 10^(-38) cm2
  30.14400:    3.39053038 x 10^(-38) cm2
  30.58600:    3.43803453 x 10^(-38) cm2
  31.03500:    3.48620836 x 10^(-38) cm2
