   4.81580:   14.85531721 x 10^(-38) cm2
   4.88640:   15.07085653 x 10^(-38) cm2
   4.95810:   15.28894305 x 10^(-38) cm2
   5.03080:   15.49494381 x 10^(-38) cm2
   5.10460:   15.69709551 x 10^(-38) cm2
   5.17940:   15.88590303 x 10^(-38) cm2
   5.25530:   16.07323574 x 10^(-38) cm2
   5.33240:   16.25626041 x 10^(-38) cm2
   5.41060:   16.43845600 x 10^(-38) cm2
   5.48990:   16.62686025 x 10^(-38) cm2
   5.57040:   16.82158786 x 10^(-38) cm2
   5.65210:   17.02235562 x 10^(-38) cm2
   5.73500:   17.23165254 x 10^(-38) cm2
   5.81910:   17.45429436 x 10^(-38) cm2
   5.90440:   17.68710325 x 10^(-38) cm2
   5.99100:   17.92646756 x 10^(-38) cm2
   6.07880:   18.17445754 x 10^(-38) cm2
   6.16790:   18.41657790 x 10^(-38) cm2
   6.25840:   18.65234778 x 10^(-38) cm2
   6.35010:   18.88571890 x 10^(-38) cm2
   6.44330:   19.11279615 x 10^(-38) cm2
   6.53770:   19.33900060 x 10^(-38) cm2
   6.63360:   19.56505525 x 10^(-38) cm2
   6.73090:   19.79944024 x 10^(-38) cm2
   6.82950:   20.05246532 x 10^(-38) cm2
   6.92970:   20.30286311 x 10^(-38) cm2
   7.03130:   20.55927474 x 10^(-38) cm2
   7.13440:   20.81811735 x 10^(-38) cm2
   7.23900:   21.07862584 x 10^(-38) cm2
   7.34510:   21.34129842 x 10^(-38) cm2
   7.45280:   21.60573773 x 10^(-38) cm2
   7.56210:   21.87348287 x 10^(-38) cm2
   7.67300:   22.15377856 x 10^(-38) cm2
   7.78550:   22.44479394 x 10^(-38) cm2
   7.89970:   22.75079201 x 10^(-38) cm2
   8.01550:   23.06953723 x 10^(-38) cm2
   8.13300:   23.39437663 x 10^(-38) cm2
   8.25230:   23.72239299 x 10^(-38) cm2
   8.37330:   24.04732384 x 10^(-38) cm2
   8.49610:   24.36285454 x 10^(-38) cm2
   8.62060:   24.67767014 x 10^(-38) cm2
   8.74700:   24.98269758 x 10^(-38) cm2
   8.87530:   25.28867411 x 10^(-38) cm2
   9.00540:   25.59693967 x 10^(-38) cm2
   9.13750:   25.90917163 x 10^(-38) cm2
   9.27150:   26.22324843 x 10^(-38) cm2
   9.40740:   26.55314253 x 10^(-38) cm2
   9.54530:   26.89335158 x 10^(-38) cm2
   9.68530:   27.24404167 x 10^(-38) cm2
   9.82730:   27.60550528 x 10^(-38) cm2
   9.97140:   27.97317768 x 10^(-38) cm2
  10.11800:   28.34366396 x 10^(-38) cm2
  10.26600:   28.72075874 x 10^(-38) cm2
  10.41600:   29.09658896 x 10^(-38) cm2
  10.56900:   29.47124744 x 10^(-38) cm2
  10.72400:   29.84174668 x 10^(-38) cm2
  10.88100:   30.21538810 x 10^(-38) cm2
  11.04100:   30.59614074 x 10^(-38) cm2
  11.20300:   30.99484799 x 10^(-38) cm2
  11.36700:   31.41988658 x 10^(-38) cm2
  11.53400:   31.86434392 x 10^(-38) cm2
  11.70300:   32.32141919 x 10^(-38) cm2
  11.87500:   32.78843566 x 10^(-38) cm2
  12.04900:   33.25535528 x 10^(-38) cm2
  12.22500:   33.71965507 x 10^(-38) cm2
  12.40500:   34.17914694 x 10^(-38) cm2
  12.58600:   34.63673965 x 10^(-38) cm2
  12.77100:   35.09255527 x 10^(-38) cm2
  12.95800:   35.55127121 x 10^(-38) cm2
  13.14800:   36.01719224 x 10^(-38) cm2
  13.34100:   36.49004814 x 10^(-38) cm2
  13.53700:   36.97034029 x 10^(-38) cm2
  13.73500:   37.45294193 x 10^(-38) cm2
  13.93700:   37.94822115 x 10^(-38) cm2
  14.14100:   38.44948729 x 10^(-38) cm2
  14.34800:   38.96056672 x 10^(-38) cm2
  14.55900:   39.48348425 x 10^(-38) cm2
  14.77200:   40.01070742 x 10^(-38) cm2
  14.98900:   40.54569884 x 10^(-38) cm2
  15.20800:   41.08913121 x 10^(-38) cm2
  15.43100:   41.64356938 x 10^(-38) cm2
  15.65800:   42.20571944 x 10^(-38) cm2
  15.88700:   42.77686481 x 10^(-38) cm2
  16.12000:   43.35660137 x 10^(-38) cm2
  16.35700:   43.94386028 x 10^(-38) cm2
  16.59700:   44.54559584 x 10^(-38) cm2
  16.84000:   45.15824874 x 10^(-38) cm2
  17.08700:   45.78025242 x 10^(-38) cm2
  17.33700:   46.40905499 x 10^(-38) cm2
  17.59200:   47.04356348 x 10^(-38) cm2
  17.84900:   47.68871975 x 10^(-38) cm2
  18.11100:   48.34011587 x 10^(-38) cm2
  18.37700:   48.99738487 x 10^(-38) cm2
  18.64600:   49.67680509 x 10^(-38) cm2
  18.92000:   50.37149535 x 10^(-38) cm2
  19.19700:   51.08148926 x 10^(-38) cm2
  19.47800:   51.79721921 x 10^(-38) cm2
  19.76400:   52.51769963 x 10^(-38) cm2
  20.05400:   53.22748199 x 10^(-38) cm2
  20.34800:   53.92728138 x 10^(-38) cm2
  20.64600:   54.61651245 x 10^(-38) cm2
  20.94900:   55.31716577 x 10^(-38) cm2
  21.25600:   56.03956142 x 10^(-38) cm2
  21.56800:   56.79890569 x 10^(-38) cm2
  21.88400:   57.60972818 x 10^(-38) cm2
  22.20500:   58.46842582 x 10^(-38) cm2
  22.53100:   59.36109547 x 10^(-38) cm2
  22.86100:   60.26146513 x 10^(-38) cm2
  23.19600:   61.15293502 x 10^(-38) cm2
  23.53600:   62.01343670 x 10^(-38) cm2
  23.88100:   62.84676731 x 10^(-38) cm2
  24.23200:   63.65720069 x 10^(-38) cm2
  24.58700:   64.46260711 x 10^(-38) cm2
  24.94700:   65.28092863 x 10^(-38) cm2
  25.31300:   66.13083904 x 10^(-38) cm2
  25.68400:   67.01355432 x 10^(-38) cm2
  26.06100:   67.93712488 x 10^(-38) cm2
  26.44300:   68.88610272 x 10^(-38) cm2
  26.83100:   69.86936186 x 10^(-38) cm2
  27.22400:   70.88414330 x 10^(-38) cm2
  27.62300:   71.92363673 x 10^(-38) cm2
  28.02800:   72.97575021 x 10^(-38) cm2
  28.43900:   74.03897999 x 10^(-38) cm2
  28.85600:   75.10415120 x 10^(-38) cm2
  29.27900:   76.16827645 x 10^(-38) cm2
  29.70900:   77.23245265 x 10^(-38) cm2
  30.14400:   78.29358226 x 10^(-38) cm2
  30.58600:   79.36705994 x 10^(-38) cm2
  31.03500:   80.45318239 x 10^(-38) cm2
  31.49000:   81.56167594 x 10^(-38) cm2
  31.95200:   82.69560526 x 10^(-38) cm2
  32.42000:   83.85414598 x 10^(-38) cm2
  32.89600:   85.03217299 x 10^(-38) cm2
  33.37800:   86.22804985 x 10^(-38) cm2
  33.86700:   87.43536529 x 10^(-38) cm2
  34.36400:   88.64956126 x 10^(-38) cm2
  34.86800:   89.87531471 x 10^(-38) cm2
  35.37900:   91.12984938 x 10^(-38) cm2
  35.89800:   92.40154836 x 10^(-38) cm2
  36.42400:   93.71122159 x 10^(-38) cm2
  36.95800:   95.05451404 x 10^(-38) cm2
  37.50000:   96.42583886 x 10^(-38) cm2
  38.05000:   97.81483471 x 10^(-38) cm2
  38.60800:   99.21689852 x 10^(-38) cm2
  39.17400:  100.61690643 x 10^(-38) cm2
  39.74800:  102.02384281 x 10^(-38) cm2
  40.33100:  103.44036001 x 10^(-38) cm2
  40.92300:  104.87198144 x 10^(-38) cm2
  41.52300:  106.32773424 x 10^(-38) cm2
  42.13100:  107.80918918 x 10^(-38) cm2
  42.74900:  109.31990799 x 10^(-38) cm2
  43.37600:  110.85782103 x 10^(-38) cm2
  44.01200:  112.42676051 x 10^(-38) cm2
  44.65700:  114.01961424 x 10^(-38) cm2
  45.31200:  115.64362117 x 10^(-38) cm2
  45.97700:  117.29944400 x 10^(-38) cm2
  46.65100:  118.98715264 x 10^(-38) cm2
  47.33500:  120.71099910 x 10^(-38) cm2
  48.02900:  122.45787228 x 10^(-38) cm2
  48.73300:  124.23285983 x 10^(-38) cm2
  49.44800:  126.02463763 x 10^(-38) cm2
  50.17300:  127.83840105 x 10^(-38) cm2
  50.90800:  129.67205418 x 10^(-38) cm2
  51.65500:  131.51960008 x 10^(-38) cm2
  52.41200:  133.38525665 x 10^(-38) cm2
  53.18100:  135.26994045 x 10^(-38) cm2
  53.96000:  137.17818149 x 10^(-38) cm2
  54.75200:  139.11848426 x 10^(-38) cm2
  55.55400:  141.09141466 x 10^(-38) cm2
  56.36900:  143.09786009 x 10^(-38) cm2
  57.19600:  145.13932636 x 10^(-38) cm2
  58.03400:  147.21533315 x 10^(-38) cm2
  58.88500:  149.30929920 x 10^(-38) cm2
  59.74900:  151.41878112 x 10^(-38) cm2
  60.62500:  153.53895310 x 10^(-38) cm2
  61.51400:  155.67508302 x 10^(-38) cm2
  62.41600:  157.84082686 x 10^(-38) cm2
  63.33100:  160.04228234 x 10^(-38) cm2
  64.25900:  162.30362963 x 10^(-38) cm2
  65.20200:  164.62747816 x 10^(-38) cm2
  66.15800:  167.01578879 x 10^(-38) cm2
  67.12800:  169.45475826 x 10^(-38) cm2
  68.11200:  171.92818770 x 10^(-38) cm2
  69.11100:  174.42769501 x 10^(-38) cm2
  70.12400:  176.94336459 x 10^(-38) cm2
  71.15200:  179.45696355 x 10^(-38) cm2
  72.19500:  181.97532116 x 10^(-38) cm2
  73.25400:  184.50148655 x 10^(-38) cm2
  74.32800:  187.03733296 x 10^(-38) cm2
  75.41800:  189.58199462 x 10^(-38) cm2
  76.52400:  192.14675840 x 10^(-38) cm2
  77.64600:  194.75237292 x 10^(-38) cm2
  78.78400:  197.42800799 x 10^(-38) cm2
  79.94000:  200.19439995 x 10^(-38) cm2
  81.11200:  203.08746826 x 10^(-38) cm2
  82.30100:  206.10296080 x 10^(-38) cm2
  83.50800:  209.24307137 x 10^(-38) cm2
  84.73200:  212.47026463 x 10^(-38) cm2
  85.97500:  215.75994354 x 10^(-38) cm2
  87.23500:  219.07864449 x 10^(-38) cm2
  88.51400:  222.40436362 x 10^(-38) cm2
  89.81200:  225.73138080 x 10^(-38) cm2
