   3.39590:   10.97802486 x 10^(-38) cm2
   3.44570:   11.12970009 x 10^(-38) cm2
   3.49620:   11.27798867 x 10^(-38) cm2
   3.54740:   11.42288711 x 10^(-38) cm2
   3.59950:   11.56565289 x 10^(-38) cm2
   3.65220:   11.70712791 x 10^(-38) cm2
   3.70580:   11.84999036 x 10^(-38) cm2
   3.76010:   12.00215797 x 10^(-38) cm2
   3.81530:   12.16507062 x 10^(-38) cm2
   3.87120:   12.33411999 x 10^(-38) cm2
   3.92800:   12.50509486 x 10^(-38) cm2
   3.98560:   12.68260961 x 10^(-38) cm2
   4.04400:   12.85674665 x 10^(-38) cm2
   4.10330:   13.02385746 x 10^(-38) cm2
   4.16350:   13.18862004 x 10^(-38) cm2
   4.22450:   13.35234805 x 10^(-38) cm2
   4.28640:   13.51307018 x 10^(-38) cm2
   4.34930:   13.66262722 x 10^(-38) cm2
   4.41310:   13.81336012 x 10^(-38) cm2
   4.47780:   13.96207195 x 10^(-38) cm2
   4.54340:   14.11960091 x 10^(-38) cm2
   4.61010:   14.27928244 x 10^(-38) cm2
   4.67760:   14.45303839 x 10^(-38) cm2
   4.74620:   14.64869682 x 10^(-38) cm2
   4.81580:   14.85672937 x 10^(-38) cm2
   4.88640:   15.07175187 x 10^(-38) cm2
   4.95810:   15.28885426 x 10^(-38) cm2
   5.03080:   15.49591422 x 10^(-38) cm2
   5.10460:   15.69815726 x 10^(-38) cm2
   5.17940:   15.88693399 x 10^(-38) cm2
   5.25530:   16.07496480 x 10^(-38) cm2
   5.33240:   16.25723325 x 10^(-38) cm2
   5.41060:   16.44027850 x 10^(-38) cm2
   5.48990:   16.62814230 x 10^(-38) cm2
   5.57040:   16.82291644 x 10^(-38) cm2
   5.65210:   17.02391709 x 10^(-38) cm2
   5.73500:   17.23373673 x 10^(-38) cm2
   5.81910:   17.45632730 x 10^(-38) cm2
   5.90440:   17.68826950 x 10^(-38) cm2
   5.99100:   17.92807556 x 10^(-38) cm2
   6.07880:   18.17626317 x 10^(-38) cm2
   6.16790:   18.41848273 x 10^(-38) cm2
   6.25840:   18.65419700 x 10^(-38) cm2
   6.35010:   18.88754888 x 10^(-38) cm2
   6.44330:   19.11455227 x 10^(-38) cm2
   6.53770:   19.34120865 x 10^(-38) cm2
   6.63360:   19.56679395 x 10^(-38) cm2
   6.73090:   19.80117709 x 10^(-38) cm2
   6.82950:   20.05432834 x 10^(-38) cm2
   6.92970:   20.30476347 x 10^(-38) cm2
